Time                  p[54016]       p[54018]       p[54019]       p[54020]       p[54036]       p[54194]       p[54352]       p[54668]
1.278000e+00       2840.389707    1738.214377    2009.335859    1075.672742    1470.982885       0.000000       0.000000    2021.423131
1.279200e+00       2461.977525    1187.007399     888.057581     809.284887    1569.530773       0.000000       0.000000    1686.119559
1.280400e+00       2806.030324    1511.039461    1135.828603     984.172524    2044.880497       0.000000       0.000000    1829.344023
1.281600e+00       2654.937184    1601.172634    1232.796507    1081.364306    2463.854469       0.000000       0.000000     960.485644
1.282800e+00       2678.018561    1564.461474    1084.431261     921.817099       0.000000       0.000000       0.000000    1283.505666
1.284000e+00       3061.238396    2030.690054    1525.353351    1175.591382       0.000000       0.000000       0.000000       0.000000
1.285200e+00       2674.504534    1850.224197    1431.410409    1130.265543       0.000000       0.000000       0.000000     468.325972
1.286400e+00       2920.345728    1699.296167     474.300053       0.000000       0.000000       0.000000       0.000000     410.170176
1.287600e+00       2761.630826    1861.554137     853.134837       0.000000       0.000000       0.000000       0.000000       0.000000
1.288800e+00       3120.542401    2281.633116    1339.569383       0.000000       0.000000       0.000000       0.000000       0.000000
1.290000e+00       3062.611368    2184.187842     997.495441       0.000000       0.000000       0.000000       0.000000       0.000000
1.291200e+00       3068.407400    2118.486984    1120.605052       0.000000       0.000000       0.000000       0.000000       0.000000
1.292400e+00       3078.355685    2315.590876    1378.731205       0.000000       0.000000       0.000000       0.000000     240.435398
1.293600e+00       3096.962836    2405.083307    1513.604477       0.000000       0.000000       0.000000       0.000000    1268.705167
1.294800e+00       3232.607065    2733.130517    1961.872941       0.000000       0.000000       0.000000       0.000000    1150.708759
1.296000e+00       3322.851618    2778.031908    1967.845868      19.034631       0.000000       0.000000       0.000000    1957.771858
1.297200e+00       3154.219743    2640.389989    1812.159306       0.000000       0.000000       0.000000       0.000000    1810.351313
1.298400e+00       2975.368490    2468.472995    1645.613729       0.000000       0.000000       0.000000       0.000000    2155.588130
1.299600e+00       2565.643293    2426.661705    1701.782314     437.805798       0.000000       0.000000       0.000000    2953.685586
1.300800e+00       2859.684028    2555.792661    1840.296707     668.836084       0.000000       0.000000       0.000000    3736.987972
1.302000e+00       2735.870588    2295.340470    1619.024305     581.810937       0.000000       0.000000       0.000000    3522.021572
1.303200e+00       2572.338852    2090.444986    1460.463290     383.862529       0.000000       0.000000       0.000000    4018.261940
1.304400e+00       2698.279400    2208.624627    1589.951568     579.585306       0.000000       0.000000       0.000000    3165.531627
1.305600e+00       2730.421396    2223.646913    1653.298500     756.576619       0.000000       0.000000       0.000000    3274.051219
1.306800e+00       2752.854885    2283.054467    1776.958732     990.580590       0.000000       0.000000       0.000000    1306.956673
1.308000e+00       2510.108546    2095.903869    1629.452322    1061.094172       0.000000       0.000000       0.000000    1042.942233
1.309200e+00       2857.354538    2240.263475    1672.811813    1241.530677       0.000000       0.000000       0.000000    1025.150589
1.310400e+00       2104.922972    1772.520675    1298.719955    1182.333842       0.000000       0.000000       0.000000       0.000000
1.311600e+00       2884.149317    2028.623656    1467.270816    1519.730598       0.000000       0.000000       0.000000     565.781425
1.312800e+00       2996.205419    2157.739551    1563.769168    1859.175305       0.000000       0.000000       0.000000     571.919811
1.314000e+00       3000.289766    2043.356490    1279.975656    1753.881593       0.000000       0.000000       0.000000     353.085216
1.315200e+00       2979.457983    2089.656051    1415.242937    2250.721988       0.000000       0.000000       0.000000     659.647520
1.316400e+00       2571.411843    1914.223179    1421.395938    2702.534528       0.000000       0.000000       0.000000       0.000000
1.317600e+00       2260.855110    1276.370548       0.000000       0.000000       0.000000       0.000000       0.000000     170.728420
1.318800e+00       2691.126947    1929.249392       3.259384       0.000000     992.608399       0.000000       0.000000       0.000000
1.320000e+00       2262.212181    1975.164190     366.216554       0.000000    1222.513546       0.000000       0.000000       0.000000
1.321200e+00       2454.287432    2056.870558     560.504440       0.000000    1354.725754       0.000000       0.000000       0.000000
1.322400e+00       2489.154227    2252.903966     869.159885       0.000000    1558.859322       0.000000       0.000000       0.000000
1.323600e+00       2757.134534    2436.424813    1069.603572       0.000000    1708.154026       0.000000       0.000000       0.000000
1.324800e+00       2656.731256    2458.609797    1231.654405     319.286878    1897.486384       0.000000       0.000000       0.000000
1.326000e+00       2792.794997    2841.357317    1333.295411     393.819151    1874.609732       0.000000       0.000000     991.961907
1.327200e+00       2561.049841    2755.206860    1276.466642     453.268424    2061.149348       0.000000       0.000000     441.740155
1.328400e+00       2592.933873    2902.574925    1409.041566     727.147163    2098.771279       0.000000       0.000000     681.623228
1.329600e+00       2369.829334    2937.690081    1427.161835     607.877575    2021.974134       0.000000       0.000000      40.767698
1.330800e+00       2440.778491    2900.944281    1419.968536     734.846123    2050.698423       0.000000       0.000000    1320.543344
1.332000e+00       2219.860823     720.916529     392.541413     575.446901    1628.232076       0.000000       0.000000    1774.075489
1.333200e+00       2375.245016    1151.211234     776.602819     892.587554    1668.408390       0.000000       0.000000    1871.064063
1.334400e+00       1974.881499    1376.697861     847.997399     786.507346    1552.300218       0.000000       0.000000    1695.819596
1.335600e+00       2260.359534    1447.651597     379.860543       0.000000    1739.654187       0.000000       0.000000    1722.593440
1.336800e+00       2415.543567    1163.118026     364.033747       0.000000       0.000000       0.000000       0.000000    2096.760380
1.338000e+00       2611.623374    1522.047628     783.914253       0.000000       0.000000       0.000000       0.000000    1566.704523
1.339200e+00       2736.741740    1686.821590    1054.426598       0.000000     322.374996       0.000000       0.000000    2150.630156
1.340400e+00       2656.165907    1648.470363    1158.053309       0.000000     474.885767       0.000000       0.000000    2093.940708
1.341600e+00       2505.239429    1491.243372    1116.511338       0.000000     491.350074       0.000000       0.000000    1700.818232
1.342800e+00       2708.294322    1667.097565    1337.339391      70.853819     539.671094       0.000000       0.000000    1071.099396
1.344000e+00       2602.466017    1559.594644    1307.524294       9.526078     515.793409       0.000000       0.000000    1080.275293
1.345200e+00       2652.297478    1600.473665    1457.033755     132.437353     580.396806       0.000000       0.000000    1338.572590
1.346400e+00       2706.421005    1688.726213    1624.707274     263.250162     617.986785       0.000000       0.000000    1034.727689
1.347600e+00       2459.524407    1348.470097    1391.623028      38.248591     233.828712       0.000000       0.000000    1601.371891
1.348800e+00       2345.615204    1381.543331    1527.242538     181.313317     453.949871       0.000000       0.000000    1041.363403
1.350000e+00       3014.058174    1847.915970    1953.776557     542.601144     843.862130       0.000000       0.000000    2087.399218
1.351200e+00       2801.841095    1670.301075    1864.264901     462.297174     815.312564       0.000000       0.000000    2724.542277
1.352400e+00       2939.930049    1337.039086    1332.272327     204.099294     521.020101       0.000000       0.000000    2624.712888
1.353600e+00       2899.030808    1414.034775    1433.062305     298.665136     769.303914       0.000000       0.000000    3011.675814
1.354800e+00       3072.814073    1752.543969    1781.900328     558.413429    1091.212505       0.000000       0.000000    3178.104516
1.356000e+00       2635.316078    1439.269435    1271.323474       0.000000       0.000000       0.000000       0.000000    2915.512582
1.357200e+00       2382.811288    1513.673438    1477.824715     163.876275       0.000000       0.000000       0.000000    3043.182301
1.358400e+00       2491.769645    1746.725908    1797.491922     517.190030     106.774504       0.000000       0.000000    1242.896356
1.359600e+00       2830.738069    1727.166981    1431.174074       0.000000      10.038501       0.000000       0.000000    2225.823668
1.360800e+00       2825.122191    1919.599094    1778.539130     333.650489     328.405661       0.000000       0.000000    2455.076962
1.362000e+00       3024.554523    2169.962648    2120.791320     733.289311     611.034302       0.000000       0.000000    2453.357016
1.363200e+00       2856.178602    2098.135693    2164.013484     887.011475     813.286937       0.000000       0.000000    2293.240871
1.364400e+00       2226.209863    1895.153311    2150.997220    1072.846397     856.581060       0.000000       0.000000     979.539620
1.365600e+00       2765.105098    2097.555186    2164.767387    1033.805595    1351.804379       0.000000       0.000000    2041.759250
1.366800e+00       2540.376360    2114.139530    2315.537017    1409.609674    1416.655978       0.000000     951.231739    1417.846465
1.368000e+00       2488.423639    2184.276285    2432.088295    1757.473167    1458.022699       0.000000    1131.809194    1348.940882
1.369200e+00       2694.981376    2354.763751    2561.038700    2045.111420    1410.690072       0.000000    1296.997314    1594.232743
1.370400e+00       2771.540866    2397.157158    2583.566169    2258.245553    1386.543644       0.000000    1280.358236    1310.358492
1.371600e+00       2796.257787    2356.808120    2525.158387    2368.218533    1395.179669       0.000000    1413.096002    1658.874614
1.372800e+00       2887.820167    2464.501907    2600.397054    2578.962290    1423.686048       0.000000    1665.357294    2107.237205
1.374000e+00       2797.707622    2084.405758    1632.874723      27.275358    1217.148770       0.000000    2023.771115    2354.325953
1.375200e+00       2787.201016    2223.759354    1888.953081     369.837038    1415.751271       0.000000    1880.304080    2291.812576
1.376400e+00       2363.946965    1975.022529    1827.567053     462.810753    1440.530615       0.000000    1906.425099    2423.076473
1.377600e+00       2512.315677    2075.072457    1690.174322     231.114051    1003.429413       0.000000    1886.540427    1334.056365
1.378800e+00       2410.135444    2209.165755    2020.151311     576.875496    1310.295017       0.000000    3022.614926    2342.549092
1.380000e+00       2340.353921    2040.190255    1737.952942     342.589183    1005.025748       0.000000    2953.257405    2202.232972
1.381200e+00       2765.072425    2471.374562    2236.993290     985.221669    1729.208536       0.000000    3225.592598    3123.276495
